t,bin_idx,disp,rps_am,rps_bc,rps_tm,lam_fixed,rps_fixed,lam_adaptive,rps_adaptive
2012.0,4,0.7181287557048943,0.3341643521110299,0.295,0.3116670323875903,0.455,0.31321713111821115,1.0,0.295
2012.25,4,0.3382109182001837,0.3921821501561066,0.32860000000000006,0.40463497876197047,0.49,0.358591878891967,1.0,0.32860000000000006
2012.5,4,0.31183812372448977,0.3771014164229024,0.39096225,0.3916476404965405,0.545,0.38321593775036805,1.0,0.39096225
2012.75,4,0.18193624003460201,0.306226436366782,0.32777561000000005,0.294010290751813,0.535,0.31549634431127505,1.0,0.32777561000000005
2013.0,4,0.3720617234845497,0.23959163011834284,0.18856415999999998,0.2164213130310296,0.515,0.2100894152620743,1.0,0.18856415999999998
2013.25,4,0.23873557733877548,0.20481575235918362,0.17090000000000002,0.18938849119296308,0.555,0.18451757980949868,1.0,0.17090000000000002
2013.5,4,0.1522923079861112,0.13309068408179014,0.11784999999999998,0.12168548963045372,0.585,0.12300450185348635,1.0,0.11784999999999998
2013.75,4,0.20217489942520772,0.087892306101108,0.032500000000000015,0.06632387663837264,0.595,0.05110880135033953,1.0,0.032500000000000015
2014.0,4,0.28054764373645086,0.21297788853156271,0.21312499999999995,0.199136874708627,0.635,0.21105045747849557,1.0,0.21312499999999995
2014.25,4,0.19520411275476657,0.1792001641091387,0.18500000000000005,0.16752466002982047,0.635,0.18116051760702984,1.0,0.18500000000000005
2014.5,4,0.18167063814595663,0.31719724637080887,0.3443210000000001,0.32492149902042505,0.625,0.3336682846458951,1.0,0.3443210000000001
2014.75,4,0.1623189623070988,0.08612936145833332,0.04692499999999994,0.06698694111514379,0.605,0.05962657764653639,1.0,0.04692499999999994
2015.0,5,0.4825461377410469,0.6961075717906338,0.6644360000000001,0.680550105199672,0.635,0.6720719996905954,1.0,0.6644360000000001
2015.25,5,0.495072649231302,0.5435502510595568,0.544086,0.514978640248087,0.655,0.5416420830023638,1.0,0.544086
2015.5,5,0.3732137165265188,0.3614464087955406,0.3499000000000001,0.33918342437245047,0.65,0.3517264006855619,1.0,0.3499000000000001
2015.75,5,0.3524236339506172,0.4722883006172839,0.39940000000000014,0.4763009177328524,0.655,0.4215257628476388,1.0,0.39940000000000014
2016.0,5,0.298016401322133,0.364352902814098,0.33540000000000003,0.3519087788706259,0.705,0.3429850654673968,1.0,0.33540000000000003
2016.25,5,0.2665394996639883,0.24101626568480652,0.22249999999999998,0.2216575106009899,0.72,0.22632080214860778,1.0,0.22249999999999998
2016.5,5,0.17954355035510206,0.1625785472755102,0.13939999999999997,0.14671507546032117,0.73,0.14454257021067038,1.0,0.13939999999999997
2016.75,5,0.6209482401959183,0.11618332700408164,0.0925,0.0747709139940869,0.745,0.09563210739558327,1.0,0.0925
2017.0,4,0.1923363241959184,0.542224267077551,0.4781,0.5382898050734655,0.755,0.4926307100413299,1.0,0.4781
2017.25,4,0.20241533315555552,0.5806500870222222,0.5459312499999999,0.5883390804843426,0.795,0.5522709975058588,1.0,0.5459312499999999
2017.5,4,0.17824890975206611,0.18635202517906327,0.18060000000000004,0.15718876692597786,0.8150000000000001,0.1813441488981171,1.0,0.18060000000000004
2017.75,4,0.16107683349862253,0.09614666681359041,0.04359999999999998,0.0712695490778722,0.8200000000000001,0.05116096175021494,1.0,0.04359999999999998
2018.0,5,0.21612724888888882,0.1794900461333334,0.149425,0.16713815195932089,0.85,0.152870823038,1.0,0.149425
2018.25,5,0.3717818141260403,0.23544791305588592,0.16459999999999994,0.2189327640615112,0.865,0.17239210773268482,1.0,0.16459999999999994
2018.5,5,0.10443744555555559,0.13489272484444442,0.11552499999999997,0.12457121472325493,0.9,0.11718595924844447,1.0,0.11552499999999997
2018.75,5,0.05783607700312174,0.055229505015608735,0.03559999999999998,0.04166847047920283,0.91,0.037141344177723176,1.0,0.03559999999999998
2019.0,5,0.19471685208448128,0.15434392148760329,0.13466900000000004,0.14183134050522025,0.92,0.13580448400661163,1.0,0.13466900000000004
